long_drop,short_rise,mean_weekly_ret_bps,weekly_win_pct
-0.03,0.05,-61.31,29.8
-0.03,0.08,-59.56,31.9
-0.03,0.1,-58.05,34.6
-0.03,0.15,-50.28,38.3
-0.05,0.05,-60.65,33.0
-0.05,0.08,-61.45,33.0
-0.05,0.1,-62.76,34.4
-0.05,0.15,-59.84,35.8
-0.08,0.05,-57.99,36.4
-0.08,0.08,-59.39,38.0
-0.08,0.1,-63.84,37.4
-0.08,0.15,-68.95,36.0
-0.1,0.05,-57.21,37.4
-0.1,0.08,-57.83,39.4
-0.1,0.1,-63.57,38.5
-0.1,0.15,-71.22,37.1
