year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2018,,0.52,7.74,-6.15,-6.8,-1.78,1.88,-1.91,-17.44,9.17,-5.94,-0.03
2019,-7.2,-5.58,-3.74,-3.6,-3.43,-5.35,-12.77,1.56,-4.07,2.7,-0.63,-2.0
2020,-7.05,-10.74,-29.75,1.0,0.72,-3.01,0.12,-3.76,4.27,4.82,-13.29,-0.31
2021,-1.03,-9.83,-0.21,-7.37,-6.63,-5.31,-7.09,-7.6,-6.71,-4.45,-6.76,-7.86
2022,-3.3,-7.71,-2.03,-9.39,5.83,-1.89,-1.78,-4.86,-0.6,-1.89,-1.64,8.2
2023,-2.03,-0.45,2.31,-4.87,-3.5,-2.87,-5.11,-4.71,-3.3,-1.17,-8.0,-5.55
2024,-7.78,-2.1,2.62,-0.42,0.01,-3.37,0.36,-0.75,-2.19,5.25,-4.26,-2.58
2025,0.46,3.56,16.62,1.74,0.92,1.18,-1.67,1.46,-0.36,-0.32,-4.31,-0.17
2026,-2.21,-6.47,-0.89,-9.02,-0.35,-0.57,,,,,,
