Date,n_long,n_short,gross_exposure,gross_pnl,costs,net_pnl,ret_on_exposure,ret_on_capital,equity
2018-01-12,82,81,1220.0,16.307121143753044,6.1,10.207121143753044,0.008366492740781184,0.006335434597482732,1.0083664927407812
2018-01-19,433,18,2345.0,-16.294240727840624,11.725000000000001,-28.019240727840625,-0.011948503508674041,-0.017391198223507005,0.9963180221642386
2018-01-26,91,24,695.0,0.0022095239718318282,3.475,-3.4727904760281683,-0.0049968208288175085,-0.002155518350549098,0.9913395995189621
2018-02-02,709,4,3585.0,92.75479912752462,17.925,74.82979912752462,0.020873026255934343,0.046445936286878334,1.0120318570082687
2018-02-09,75,71,1085.0,9.558044379085377,5.425000000000001,4.133044379085376,0.0038092574922445866,0.0025653298303620633,1.0158869469419676
2018-02-16,143,20,915.0,0.10583735391581284,4.575,-4.469162646084188,-0.004884330760747746,-0.002773954306117745,1.0109250190775767
2018-02-23,70,10,450.0,-4.17361064062997,2.25,-6.42361064062997,-0.014274690312511043,-0.0039870561464152195,0.996494377501075
2018-03-02,58,21,500.0,-7.768672221690389,2.5,-10.26867222169039,-0.02053734444338078,-0.0063736385947885995,0.9760290292344431
2018-03-09,480,6,2460.0,76.10383461509942,12.3,63.80383461509942,0.025936518136219278,0.039602255678131214,1.0013438238526586
2018-03-16,39,51,705.0,35.84701063888724,3.5250000000000004,32.32201063888724,0.0458468236012585,0.020061874604783817,1.0472522575090413
2018-03-23,464,4,2360.0,29.71674070509605,11.8,17.91674070509605,0.00759183928182036,0.011120700669518672,1.0552028283355734
2018-03-30,41,23,435.0,9.78897555024105,2.1750000000000003,7.613975550241049,0.017503392069519653,0.004725901010287044,1.073672457152797
2018-04-06,14,208,2150.0,-21.851193087007054,10.75,-32.601193087007054,-0.015163345621863746,-0.020235159717786586,1.0573919906003133
2018-04-13,47,29,525.0,-9.609546611550668,2.625,-12.234546611550668,-0.023303898307715558,-0.007593832658170375,1.0327506351799707
2018-04-20,58,45,740.0,-0.6119214609097197,3.7,-4.31192146090972,-0.005826920893121243,-0.0026763566357586345,1.0267328789264563
2018-04-27,87,41,845.0,-11.513859681786066,4.2250000000000005,-15.738859681786067,-0.01862586944590067,-0.009768916695373945,1.0076090863677583
2018-05-04,182,8,990.0,-14.882977972660328,4.95,-19.832977972660327,-0.020033311083495278,-0.012310085581379204,0.9874233400899965
2018-05-11,142,25,960.0,-16.220960750552337,4.800000000000001,-21.020960750552337,-0.021896834115158685,-0.013047451885381285,0.96580189501061
2018-05-18,259,10,1395.0,-9.695976335450418,6.9750000000000005,-16.67097633545042,-0.011950520670573776,-0.010347470041939167,0.9542600595006063
2018-05-25,148,24,980.0,-10.694302554716865,4.9,-15.594302554716865,-0.015912553627262106,-0.009679191863930415,0.9390753451294487
2018-06-01,165,22,1045.0,4.093686991596492,5.225,-1.1313130084035077,-0.0010825961802904379,-0.0007021920748347753,0.9380587057478067
2018-06-08,134,11,780.0,15.199528089368176,3.9000000000000004,11.299528089368176,0.014486574473548943,0.007013478157494386,0.9516479630491832
2018-06-15,43,51,725.0,15.228304529298242,3.625,11.603304529298242,0.01600455797144585,0.0072020284588309134,0.9668786680422122
2018-06-22,238,8,1270.0,-47.09214849045088,6.3500000000000005,-53.44214849045088,-0.04208043188224479,-0.03317088449738143,0.9261919961132664
