cost_bps_per_side,mean_weekly_ret_bps,weekly_win_pct,total_net_pnl,final_equity
0,-12.76,45.6,233.5,0.4977
5,-22.76,42.4,-473.8,0.3205
10,-32.76,41.2,-1181.0,0.2063
15,-42.76,39.2,-1888.3,0.1327
25,-62.76,34.4,-3302.9,0.0549
40,-92.76,28.7,-5424.7,0.0145
