bucket,n_obs,mean_fwd_ret_pct,median_fwd_ret_pct,pct_positive
< -10%,263,0.688,1.193,55.1
-10..-5%,1342,0.533,0.672,56.9
-5..-2%,3488,0.356,0.351,53.9
-2..+2%,9734,0.268,0.18,52.5
+2..+5%,4118,0.284,0.212,53.0
+5..+10%,1682,0.267,0.142,51.3
> +10%,404,0.734,0.713,56.7
