Date,n_long,n_short,gross_exposure,gross_pnl,costs,net_pnl,ret_on_exposure,ret_on_capital,equity
2018-08-17,1,2,25.0,-0.26108140118353385,0.125,-0.38608140118353385,-0.015443256047341354,-0.01171204250585772,0.8790531779211036
2018-08-24,1,0,5.0,0.03699102050036651,0.025,0.01199102050036651,0.002398204100073302,0.000363755781445018,0.8811613268565766
2018-08-31,0,1,10.0,-0.2586098145578397,0.05,-0.3086098145578397,-0.03086098145578397,-0.009361889111327753,0.8539678234889018
2018-09-07,6,0,30.0,-0.46668657849910866,0.15000000000000002,-0.6166865784991087,-0.020556219283303624,-0.018707607768808435,0.8364134736483784
2018-09-14,1,0,5.0,-0.4382563741041007,0.025,-0.4632563741041007,-0.09265127482082014,-0.01405319792143397,0.7589186990375456
2018-09-21,12,0,60.0,-2.355437870877749,0.30000000000000004,-2.6554378708777486,-0.04425729784796248,-0.08055451808879038,0.7253310081318527
2018-09-28,13,0,65.0,-2.8775809517025692,0.325,-3.2025809517025694,-0.04927047618003953,-0.09715247644617823,0.6895936039730481
2018-10-05,21,0,105.0,4.733052535117256,0.525,4.208052535117256,0.04007669081064053,0.12765414238316747,0.7172302336244712
2018-10-12,4,4,60.0,-0.5164053000071772,0.30000000000000004,-0.8164053000071773,-0.013606755000119621,-0.024766211338800404,0.7074710575568645
2018-10-19,5,1,35.0,0.5629787724653479,0.175,0.3879787724653479,0.011085107784724225,0.011769600557175078,0.7153134504844552
2018-10-26,11,0,55.0,3.0083908255299985,0.275,2.7333908255299986,0.04969801500963634,0.08291927411056606,0.7508631090832264
2018-11-02,1,7,75.0,-0.2611678332203904,0.37500000000000006,-0.6361678332203904,-0.008482237776271872,-0.019298584911617313,0.7444941096545517
2018-11-09,2,0,10.0,-0.11118753885933197,0.05,-0.16118753885933196,-0.016118753885933194,-0.0048897338767107746,0.7324937923315029
2018-11-16,2,1,20.0,0.2553670271797348,0.1,0.1553670271797348,0.00776835135898674,0.004713164686927719,0.7381840614786107
2018-11-23,6,0,30.0,0.2940221960748962,0.15000000000000002,0.1440221960748962,0.004800739869163207,0.004369011501318857,0.7417278911333319
2018-11-30,3,0,15.0,-1.0469839819148297,0.07500000000000001,-1.1219839819148296,-0.0747989321276553,-0.03403614897478886,0.6862474369472609
2018-12-07,8,0,40.0,1.383892792358496,0.2,1.183892792358496,0.0295973198089624,0.03591419494431907,0.7065585218066697
2018-12-21,1,0,5.0,0.083178582482204,0.025,0.058178582482204,0.011635716496440799,0.001764886961333333,0.7147798364545564
2018-12-28,1,0,5.0,-0.21576570806379314,0.025,-0.24076570806379313,-0.048153141612758625,-0.007303791889875531,0.6803609417678157
2019-01-04,5,0,25.0,0.07829309808540075,0.125,-0.04670690191459925,-0.0018682760765839702,-0.0014168857107951368,0.6790898396968688
2019-01-18,4,0,20.0,-0.3175388374169458,0.1,-0.41753883741694575,-0.020876941870847286,-0.012666325279287372,0.6649125205884342
2019-01-25,10,0,50.0,0.7370287735201558,0.25,0.48702877352015583,0.009740575470403117,0.014774349863935105,0.6713891511764418
2019-02-01,3,0,15.0,0.007372413766094654,0.07500000000000001,-0.06762758623390536,-0.004508505748927024,-0.0020515289317537804,0.6683621893285956
2019-02-08,5,0,25.0,-0.7459766126044115,0.125,-0.8709766126044115,-0.03483906450417646,-0.026421669309010742,0.645077075902424
2019-02-15,11,0,55.0,2.0183485724313632,0.275,1.7433485724313633,0.03169724677147933,0.05288566742725893,0.6655242431639274
2019-02-22,1,1,15.0,0.1474603024222232,0.07500000000000001,0.07246030242222318,0.004830686828148212,0.002198132671904988,0.6687391823591927
2019-03-01,1,0,5.0,0.1343037214885956,0.025,0.1093037214885956,0.02186074429771912,0.003315802906326232,0.6833583186266129
2019-03-08,1,0,5.0,0.1105937136204882,0.025,0.0855937136204882,0.017118742724097642,0.002596543653965908,0.6950565538715539
2019-03-15,1,2,25.0,0.5777163785784706,0.125,0.4527163785784706,0.01810865514313882,0.013733459971796123,0.7076430933105924
2019-03-22,5,0,25.0,0.3100316468186687,0.125,0.18503164681866868,0.007401265872746747,0.00561306114675779,0.712880547987197
2019-03-29,1,0,5.0,0.2459718889269802,0.025,0.2209718889269802,0.04419437778539604,0.006703332892438852,0.7443858602408034
2019-04-12,1,0,5.0,0.10756612101622931,0.025,0.08256612101622932,0.016513224203245865,0.002504699568333189,0.756678070844686
2019-04-26,5,0,25.0,-0.4424558074436169,0.125,-0.5674558074436169,-0.022698232297744675,-0.01721415876704217,0.7395028162180439
2019-05-03,1,0,5.0,-0.37485545419503996,0.025,-0.39985545419504,-0.079971090839008,-0.012129887794064204,0.6803639693265685
2019-05-10,9,0,45.0,0.01245931970340508,0.225,-0.21254068029659492,-0.00472312622881322,-0.006447566430878885,0.6771505244179027
2019-05-17,2,2,30.0,-0.07140814001838414,0.15000000000000002,-0.22140814001838416,-0.007380271333946139,-0.006716566866699428,0.6721529698137746
2019-05-24,1,7,75.0,0.5794765393333257,0.37500000000000006,0.2044765393333256,0.0027263538577776748,0.0062029352172397155,0.6739854966560431
2019-05-31,2,0,10.0,-0.01714781617481176,0.05,-0.06714781617481176,-0.006714781617481176,-0.0020369747799404148,0.6694598312326482
2019-06-07,1,1,15.0,0.16307171004760368,0.07500000000000001,0.08807171004760367,0.005871447336506911,0.00267171536489208,0.6733905293756375
2019-06-14,1,0,5.0,0.0765699467339509,0.025,0.0515699467339509,0.010313989346790179,0.0015644094906445112,0.6803358721218473
2019-06-21,1,0,5.0,0.10199004975124382,0.025,0.07699004975124382,0.015398009950248764,0.002335545645168275,0.6908116906502908
2019-07-05,2,0,10.0,0.3749071500225898,0.05,0.3249071500225898,0.03249071500225898,0.009856279892935587,0.7132566564114382
2019-07-12,8,0,40.0,-0.8748062554140673,0.2,-1.0748062554140674,-0.026870156385351684,-0.03260498047920005,0.6940913385107698
2019-07-19,7,0,35.0,0.09162694369262148,0.17500000000000002,-0.08337305630737854,-0.0023820873230679584,-0.0025291785004973514,0.6924379523322519
2019-07-26,4,1,30.0,-0.0764399423595985,0.15000000000000002,-0.22643994235959852,-0.007547998078653284,-0.00686921002102056,0.6872114319984615
2019-08-02,9,0,45.0,-1.13774456183094,0.225,-1.3627445618309402,-0.030283212485132004,-0.04133978529880846,0.6664004621810402
2019-08-09,3,0,15.0,-0.08751342510519622,0.07500000000000001,-0.16251342510519623,-0.010834228340346416,-0.004929955539867536,0.6591805274076584
2019-08-16,3,0,15.0,-0.43434904988877254,0.07500000000000001,-0.5093490498887725,-0.03395660332591817,-0.015451450663845066,0.6367969957183071
2019-08-23,8,0,40.0,1.3736335119632637,0.2,1.1736335119632637,0.029340837799081594,0.03560297267953208,0.6554811530806204
2019-09-06,3,0,15.0,-0.0462718509806076,0.07500000000000001,-0.12127185098060761,-0.008084790065373841,-0.0036788642734274664,0.6501817255661544
2019-09-20,0,1,10.0,-0.16224130426180317,0.05,-0.21224130426180315,-0.021224130426180314,-0.00643848465477165,0.6363821838220194
